,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
0,0.646,0.0,1.0,0.5540540540540542,0.0,0.7096828038826443,0.3333333333333333,0.0,1.0,0.10493080696597624
1,0.9999999999999999,0.5,1.0,0.3108108108108108,0.8,0.24265103014534709,0.0,1.0,0.0,0.15877358225785415
2,0.7499999999999999,0.0,0.0,0.1756756756756757,0.6000000000000001,0.0,0.0,0.0,0.0,0.3063645924340758
3,0.588,0.0,1.0,0.2027027027027027,0.7000000000000001,0.6957859264691891,0.0,0.0,1.0,0.21939600262496617
4,0.7060000000000001,1.0,1.0,0.14864864864864863,0.9,0.0,0.3333333333333333,1.0,0.0,0.25309806095807064
5,0.866,0.0,1.0,0.2972972972972973,0.6000000000000001,0.0,0.3333333333333333,1.0,0.0,0.5485897160540837
6,0.7959999999999999,0.0,1.0,0.27027027027027034,0.4,0.4592357000406022,0.0,0.0,1.0,0.35454493923799635
7,0.59,0.0,0.0,0.6756756756756757,0.9,0.0,1.0,1.0,1.0,0.8818451529104839
8,0.9999999999999999,0.0,1.0,0.2027027027027027,0.7000000000000001,0.5618097371725708,0.0,0.0,0.0,0.01711075913443756
9,0.348,0.5,0.0,0.1756756756756757,0.8,0.42973077236259555,0.0,1.0,0.0,0.9987725176226395
10,0.30199999999999994,0.5,1.0,0.08108108108108109,0.4,0.5213527930802503,0.3333333333333333,1.0,0.0,0.4009946034301366
11,0.64,0.0,1.0,0.2027027027027027,0.8,0.5049049596192622,0.0,1.0,1.0,0.1969225938656299
12,0.4859999999999999,0.0,1.0,0.3378378378378379,0.9,0.0,0.3333333333333333,1.0,1.0,0.3815644604353187
13,0.7179999999999999,0.5,1.0,0.21621621621621623,0.4,0.5913763233510467,0.3333333333333333,1.0,1.0,0.10722052312512262
14,0.634,0.0,0.0,0.27027027027027034,0.6000000000000001,0.5756601813907791,0.0,1.0,1.0,0.36958601349495174
15,0.9420000000000001,0.0,0.0,0.2972972972972973,0.1,0.0,0.3333333333333333,1.0,0.0,0.9714948924275668
16,0.65,0.0,1.0,0.4189189189189189,0.8,0.5385987195040027,0.0,0.0,1.0,0.8976914576081818
17,0.686,0.5,1.0,0.35135135135135137,0.5,0.4966222740077456,0.3333333333333333,1.0,1.0,0.23468032201412972
18,0.7519999999999999,1.0,0.0,0.5135135135135136,0.2,0.420384786508339,0.0,1.0,1.0,0.2299103259960055
19,0.632,0.5,0.0,0.24324324324324326,0.30000000000000004,0.5146252807265294,0.3333333333333333,0.0,0.0,0.6971411992965603
20,0.43600000000000005,0.0,0.0,0.39189189189189194,0.7000000000000001,0.0,0.3333333333333333,1.0,1.0,0.22957857805859866
21,0.46999999999999986,0.0,1.0,0.2972972972972973,0.7000000000000001,0.0,0.3333333333333333,0.0,0.0,0.730770564257164
22,0.5499999999999999,0.0,0.0,0.4594594594594595,0.2,0.3167380030673012,0.0,1.0,1.0,0.42283208276218004
23,0.636,0.5,0.0,0.37837837837837845,0.7000000000000001,0.6449076196634259,0.0,1.0,1.0,0.86532689729327
24,0.634,1.0,1.0,0.5135135135135136,0.2,0.6731142512882422,0.0,0.0,1.0,0.0940946915977418
